<IMU_DATA>
Time=0.08,Ax=0.13,Ay=0.29,Az=1.03,Gx=-0.85,Gy=-0.08,Gz=-0.08,Pitch=15.67,Roll=7.16,Velocity=0.00,Distance=0.00
Time=0.12,Ax=0.07,Ay=-0.02,Az=0.99,Gx=-13.69,Gy=1.32,Gz=-0.05,Pitch=-0.88,Roll=3.78,Velocity=0.00,Distance=0.00
Time=0.14,Ax=0.04,Ay=-0.00,Az=1.00,Gx=-0.71,Gy=-1.04,Gz=-0.18,Pitch=-0.08,Roll=2.27,Velocity=0.00,Distance=0.00
Time=0.16,Ax=-0.01,Ay=-0.08,Az=1.03,Gx=-1.16,Gy=-3.31,Gz=-3.26,Pitch=-4.42,Roll=-0.56,Velocity=0.00,Distance=0.00
Time=0.18,Ax=-0.01,Ay=0.08,Az=0.97,Gx=-1.81,Gy=-1.19,Gz=-0.01,Pitch=4.42,Roll=-0.77,Velocity=0.00,Distance=0.00
Time=0.26,Ax=-0.01,Ay=-0.01,Az=1.09,Gx=-1.74,Gy=0.18,Gz=-3.33,Pitch=-0.32,Roll=-0.63,Velocity=0.00,Distance=0.00
Time=0.42,Ax=-0.01,Ay=0.07,Az=1.03,Gx=-0.74,Gy=1.83,Gz=1.63,Pitch=4.17,Roll=-0.81,Velocity=0.00,Distance=0.00
Time=0.46,Ax=0.08,Ay=-0.01,Az=0.91,Gx=-10.05,Gy=-1.21,Gz=-2.54,Pitch=-0.59,Roll=4.73,Velocity=0.00,Distance=0.00
Time=0.48,Ax=0.07,Ay=-0.00,Az=1.03,Gx=-2.30,Gy=-2.19,Gz=-1.21,Pitch=-0.04,Roll=4.05,Velocity=0.00,Distance=0.00
Time=0.50,Ax=-0.01,Ay=0.04,Az=1.00,Gx=-3.28,Gy=-0.05,Gz=5.58,Pitch=2.41,Roll=-0.77,Velocity=0.00,Distance=0.00
Time=0.56,Ax=0.07,Ay=0.04,Az=0.97,Gx=-1.31,Gy=1.77,Gz=-0.12,Pitch=2.26,Roll=4.03,Velocity=0.00,Distance=0.00
Time=0.64,Ax=0.01,Ay=-0.06,Az=1.06,Gx=-7.56,Gy=0.38,Gz=-1.86,Pitch=-3.22,Roll=0.51,Velocity=0.00,Distance=0.00
Time=0.72,Ax=0.00,Ay=0.07,Az=0.97,Gx=-0.89,Gy=-3.85,Gz=8.98,Pitch=4.24,Roll=0.00,Velocity=0.00,Distance=0.00
Time=0.74,Ax=-0.00,Ay=-0.02,Az=0.91,Gx=-6.73,Gy=-1.45,Gz=5.06,Pitch=-1.55,Roll=-0.27,Velocity=0.00,Distance=0.00
Time=0.84,Ax=-0.01,Ay=-0.00,Az=1.07,Gx=0.56,Gy=-0.56,Gz=1.77,Pitch=-0.09,Roll=-0.60,Velocity=0.00,Distance=0.00
Time=0.88,Ax=-0.01,Ay=-0.01,Az=0.97,Gx=-1.90,Gy=-2.04,Gz=-0.20,Pitch=-0.47,Roll=-0.60,Velocity=0.00,Distance=0.00
Time=0.90,Ax=-0.01,Ay=0.01,Az=1.00,Gx=-6.54,Gy=0.48,Gz=-1.12,Pitch=0.48,Roll=-0.29,Velocity=0.00,Distance=0.00
Time=0.98,Ax=0.03,Ay=-0.00,Az=0.81,Gx=-0.11,Gy=-2.19,Gz=-1.44,Pitch=-0.22,Roll=2.32,Velocity=0.00,Distance=0.00
